item_code,item_name,description,item_group,stock_uom,is_stock_item,include_item_in_manufacturing,is_purchase_item,is_sales_item
1L500109-625,TRIM-DOOR OPENING,TRIM-DOOR OPENING,All Item Groups,EA,1,0,1,0
35553-2-255,DETECTOR,DETECTOR,All Item Groups,EA,1,0,1,0
35562-2-310,SENSOR,SENSOR,All Item Groups,EA,1,0,1,0
5A1641,RING,RING,All Item Groups,EA,1,0,1,0
63-533,NUT,NUT,All Item Groups,EA,1,0,1,0
65-46360-7,MIXER ASSY,MIXER ASSY,All Item Groups,EA,1,0,1,0
161W2160-3,"AXLE ASSY-MLG, AFL","AXLE ASSY-MLG, AFL",All Item Groups,EA,1,0,1,0
3M-434 (2 INCH),Temperature Vibration Damping Tape2 In X 60 Yd,Temperature Vibration Damping Tape2 In X 60 Yd,All Item Groups,EA,1,0,1,0
VAT,VAT,VAT,All Item Groups,EA,1,0,1,0
UNIVERSAL TEMP,UNIVERSAL TEMP,UNIVERSAL TEMP,All Item Groups,EA,1,0,1,0
D2711004700000,SWITCH-PUSH BUTTON,SWITCH-PUSH BUTTON,All Item Groups,EA,1,0,1,0
5017-2050219800,SHOULDER HARNESS ASSY,SHOULDER HARNESS ASSY,All Item Groups,EA,1,0,1,0
MS21075L3,NUT,NUT,All Item Groups,EA,1,0,1,0
NAS514P1032-10,SCREW,SCREW,All Item Groups,EA,1,0,1,0
MS21250-10056,BOLT,BOLT,All Item Groups,EA,1,0,1,0
Q4559X,LAMP,LAMP,All Item Groups,EA,1,0,1,0
338-118-304-0,RING-SECTOR SUPPORT,RING-SECTOR SUPPORT,All Item Groups,EA,1,0,1,0
310A2022-3,LINK,LINK,All Item Groups,EA,1,0,1,0
310A2028-6,BUSHING,BUSHING,All Item Groups,EA,1,0,1,0
NSA936501TA1004,TERMINAL,TERMINAL,All Item Groups,EA,1,0,1,0
856A1480G01,"FADEC-ENGINE PRESERVATION, FALSE METERING VALVE SI","FADEC-ENGINE PRESERVATION, FALSE METERING VALVE SI",All Item Groups,EA,1,0,1,0
E0250A0S,RELAY BASE MODULE,RELAY BASE MODULE,All Item Groups,EA,1,0,1,0
NSA935805-06,CONDUIT,CONDUIT,All Item Groups,EA,1,0,1,0
50845-1,TERMINAL,TERMINAL,All Item Groups,EA,1,0,1,0
