name,company,supplier,transaction_date,schedule_date,items:item_code,items:qty,items:uom,items:rate,items:description
PO-24-5538,Aeroparts AOG DWC LLC,BOEING FLEET,9/17/2024,12/1/2024,1L500109-625,10,EA,589,TRIM-DOOR OPENING 
PO-24-5539,Aeroparts AOG DWC LLC,BOEING FLEET,9/18/2024,1/16/2025,35553-2-255,1,EA,2299,DETECTOR
PO-24-5539,Aeroparts AOG DWC LLC,BOEING FLEET,9/18/2024,1/16/2025,35562-2-310,1,EA,2274,SENSOR
ERC-PO-25027,Royal Aircraft Maintenance Company DWC LLC,DASI LLC,9/5/2025,9/5/2025,5A1641,4,EA,74,RING
ERC-PO-25027,Royal Aircraft Maintenance Company DWC LLC,DASI LLC,9/5/2025,9/5/2025,5A1641,2,EA,60,RING
ERC-PO-25027,Royal Aircraft Maintenance Company DWC LLC,BOEING FLEET,9/18/2024,9/18/2024,63-533,330,EA,60.85,NUT
ERC-PO-25026,Royal Aircraft Maintenance Company DWC LLC,DASI LLC,9/5/2025,9/5/2025,5A1641,5,EA,60,RING
ERC-PO-25022,Royal Aircraft Maintenance Company DWC LLC,YAS INTERNATIONAL DIST.INC,9/19/2024,10/9/2024,65-46360-7,1,EA,2250,MIXER ASSY
ERC-PO-25022,Royal Aircraft Maintenance Company DWC LLC,BOEING FLEET,9/19/2024,10/4/2024,161W2160-3,1,EA,81078,"AXLE ASSY-MLG, AFL"
ERC-PO-25025,Royal Aircraft Maintenance Company DWC LLC,SAFARI AVIATION SERVICES FZE,9/4/2025,9/4/2025,3M-434 (2 INCH),5,EA,543.34,Temperature Vibration Damping Tape2 In X 60 Yd
ERC-PO-25024,Royal Aircraft Maintenance Company DWC LLC,ACE HARDWARE,8/26/2025,8/26/2025,VAT,1,EA,3.1,VAT
ERC-PO-25016,Royal Aircraft Maintenance Company DWC LLC,ACE HARDWARE,8/26/2025,8/26/2025,UNIVERSAL TEMP,1,EA,61.98,UNIVERSAL TEMP
ERC-PO-25023,Royal Aircraft Maintenance Company DWC LLC,"Taps Aero, LLC",9/19/2024,9/18/2024,D2711004700000,2,EA,1000,SWITCH-PUSH BUTTON
ERC-PO-25023,Royal Aircraft Maintenance Company DWC LLC,PROPONENT,9/19/2024,9/18/2024,5017-2050219800,2,EA,4585.41,SHOULDER HARNESS ASSY
ERC-PO-25019,Royal Aircraft Maintenance Company DWC LLC,AVIALL,9/19/2024,9/19/2024,MS21075L3,100,EA,0.75,NUT
ERC-PO-25019,Royal Aircraft Maintenance Company DWC LLC,WENCOR,9/19/2024,9/19/2024,NAS514P1032-10,100,EA,0.18,SCREW
ERC-PO-25019,Royal Aircraft Maintenance Company DWC LLC,BOEING DISTRIBUTION SERVICES,9/20/2024,9/30/2024,MS21250-10056,600,EA,4.65,BOLT
ERC-PO-25019,Royal Aircraft Maintenance Company DWC LLC,WENCOR,9/20/2024,9/30/2024,Q4559X,54,EA,23.5,LAMP
ERC-PO-25019,Royal Aircraft Maintenance Company DWC LLC,CFM INTERNATIONAL,9/24/2024,9/24/2024,338-118-304-0,1,EA,2439,RING-SECTOR SUPPORT
ERC-PO-25019,Royal Aircraft Maintenance Company DWC LLC,BOEING FLEET,9/24/2024,9/24/2024,310A2022-3,1,EA,3275,LINK
ERC-PO-25019,Royal Aircraft Maintenance Company DWC LLC,BOEING FLEET,9/24/2024,9/24/2024,310A2028-6,6,EA,496.69,BUSHING
ERC-PO-25019,Royal Aircraft Maintenance Company DWC LLC,BOEING DISTRIBUTION SERVICES,9/25/2024,9/25/2024,NSA936501TA1004,50,EA,7.13,TERMINAL
ERC-PO-25019,Royal Aircraft Maintenance Company DWC LLC,GULF AIRCRAFT & ENGINEERING SERVICES,9/2/2025,9/2/2025,856A1480G01,1,EA,731,"FADEC-ENGINE PRESERVATION, FALSE METERING VALVE SI"
ERC-PO-25019,Royal Aircraft Maintenance Company DWC LLC,BOEING DISTRIBUTION SERVICES,9/25/2024,9/25/2024,E0250A0S,5,EA,62.32,RELAY BASE MODULE
ERC-PO-25022,Royal Aircraft Maintenance Company DWC LLC,BOEING DISTRIBUTION SERVICES,9/25/2024,9/25/2024,NSA935805-06,6,EA,8.49,CONDUIT
