ID,Title,Supplier,Date,Company,Currency,Exchange Rate,Status,Order Confirmation Date,ID (Items),Amount (Company Currency) (Items),Condition (Items),Description (Items),PN (Items),Quantity (Items),Rate (Company Currency) (Items),Required By (Items),Stock UOM (Items),UOM (Items),UOM Conversion Factor (Items),Rate (Supplied Items)
PO-24-5538,Purchase Order PO-24-5538,BOEING FLEET,2024-09-17,Aeroparts AOG DWC LLC,USD,1,Draft,2024-09-17,1,5890.0,NE,TRIM-DOOR OPENING,1L500109-625,10,589,2024-12-01,EA,EA,1,589
PO-24-5539,Purchase Order PO-24-5539,BOEING FLEET,2024-09-18,Aeroparts AOG DWC LLC,USD,1,Draft,2024-09-18,1,2299.0,NE,DETECTOR,35553-2-255,1,2299,2025-01-16,EA,EA,1,2299
PO-24-5539,Purchase Order PO-24-5539,BOEING FLEET,2024-09-18,Aeroparts AOG DWC LLC,USD,1,Draft,2024-09-18,2,2274.0,NE,SENSOR,35562-2-310,1,2274,2025-01-16,EA,EA,1,2274
ERC-PO-25027,Purchase Order ERC-PO-25027,DASI LLC,2025-09-05,Royal Aircraft Maintenance Company DWC LLC,USD,1,Draft,2025-09-05,1,296.0,NE,RING,5A1641,4,74,2025-09-05,EA,EA,1,74
ERC-PO-25027,Purchase Order ERC-PO-25027,DASI LLC,2025-09-05,Royal Aircraft Maintenance Company DWC LLC,USD,1,Draft,2025-09-05,2,120.0,NE,RING,5A1641,2,60,2025-09-05,EA,EA,1,60
ERC-PO-25027,Purchase Order ERC-PO-25027,BOEING FLEET,2024-09-18,Royal Aircraft Maintenance Company DWC LLC,USD,1,Draft,2024-09-18,3,20080.5,NE,NUT,63-533,330,60.85,2024-09-18,EA,EA,1,60.85
ERC-PO-25026,Purchase Order ERC-PO-25026,DASI LLC,2025-09-05,Royal Aircraft Maintenance Company DWC LLC,USD,1,Draft,2025-09-05,1,300.0,NE,RING,5A1641,5,60,2025-09-05,EA,EA,1,60
ERC-PO-25022,Purchase Order ERC-PO-25022,YAS INTERNATIONAL DIST.INC,2024-09-19,Royal Aircraft Maintenance Company DWC LLC,USD,1,Draft,2024-09-19,1,2250.0,NE,MIXER ASSY,65-46360-7,1,2250,2024-10-09,EA,EA,1,2250
ERC-PO-25022,Purchase Order ERC-PO-25022,BOEING FLEET,2024-09-19,Royal Aircraft Maintenance Company DWC LLC,USD,1,Draft,2024-09-19,2,81078.0,NE,"AXLE ASSY-MLG, AFL",161W2160-3,1,81078,2024-10-04,EA,EA,1,81078
ERC-PO-25022,Purchase Order ERC-PO-25022,BOEING DISTRIBUTION SERVICES,2024-09-25,Royal Aircraft Maintenance Company DWC LLC,USD,1,Draft,2024-09-25,3,50.94,NE,CONDUIT,NSA935805-06,6,8.49,2024-09-25,EA,EA,1,8.49
ERC-PO-25022,Purchase Order ERC-PO-25022,PROPONENT,2024-09-25,Royal Aircraft Maintenance Company DWC LLC,USD,1,Draft,2024-09-25,4,399.0,NE,TERMINAL,50845-1,100,3.99,2024-09-25,EA,EA,1,3.99
ERC-PO-25025,Purchase Order ERC-PO-25025,SAFARI AVIATION SERVICES FZE,2025-09-04,Royal Aircraft Maintenance Company DWC LLC,USD,1,Draft,2025-09-04,1,2716.7000000000003,NE,Temperature Vibration Damping Tape2 In X 60 Yd,3M-434 (2 INCH),5,543.34,2025-09-04,EA,EA,1,543.34
ERC-PO-25024,Purchase Order ERC-PO-25024,ACE HARDWARE,2025-08-26,Royal Aircraft Maintenance Company DWC LLC,USD,1,Draft,2025-08-26,1,3.1,NE,VAT,VAT,1,3.1,2025-08-26,EA,EA,1,3.1
ERC-PO-25016,Purchase Order ERC-PO-25016,ACE HARDWARE,2025-08-26,Royal Aircraft Maintenance Company DWC LLC,USD,1,Draft,2025-08-26,1,61.98,NE,UNIVERSAL TEMP,UNIVERSAL TEMP,1,61.98,2025-08-26,EA,EA,1,61.98
ERC-PO-25016,Purchase Order ERC-PO-25016,INVENTORY LOCATORY SERVICE LLC,2024-10-03,Royal Aircraft Maintenance Company DWC LLC,USD,1,Draft,2024-10-03,2,171.44,NE,INVOICE REF. 1337656,1337656,1,171.44,2024-10-03,EA,EA,1,171.44
ERC-PO-25016,Purchase Order ERC-PO-25016,CFM INTERNATIONAL,2024-10-09,Royal Aircraft Maintenance Company DWC LLC,USD,1,Draft,2024-10-09,3,17690.0,NE,SEAL-OIL STA,9339M40G05,1,17690,2024-10-16,EA,EA,1,17690
ERC-PO-25016,Purchase Order ERC-PO-25016,SILMID,2025-08-20,Royal Aircraft Maintenance Company DWC LLC,USD,1,Draft,2025-08-20,4,85.36,NE,FUCHS RENOLITE 762 HIGH TEMP JOINTING COMPOUND 200,FUCHS RENOLITE 762,1,85.36,2025-08-20,TB,TB,1,85.36
ERC-PO-25016,Purchase Order ERC-PO-25016,EWB AEROSPACE,2024-10-10,Royal Aircraft Maintenance Company DWC LLC,USD,1,Draft,2024-10-10,5,39000.0,NE,BRAKE ASSY,C20633000,1,39000,2024-10-15,EA,EA,1,39000
ERC-PO-25016,Purchase Order ERC-PO-25016,SAFARI AVIATION SERVICES FZE,2025-08-28,Royal Aircraft Maintenance Company DWC LLC,USD,1,Draft,2025-08-28,6,1.89,NE,VAT,VAT,1,1.89,2025-08-28,EA,EA,1,1.89
ERC-PO-25016,Purchase Order ERC-PO-25016,SILMID,2025-08-20,Royal Aircraft Maintenance Company DWC LLC,USD,1,Draft,2025-08-20,7,967.0,NE,NCP COATINGS TT-P-28GL TYPE I LOW VOC COATING 1USG,TT-P-28,1,967,2025-08-20,CAN,CAN,1,967
ERC-PO-25016,Purchase Order ERC-PO-25016,SILMID,2025-08-20,Royal Aircraft Maintenance Company DWC LLC,USD,1,Draft,2025-08-20,8,27.08,NE,FUCHS PX-7 (S-743) SOFT PETROLATUM TECHNICAL 100GM,DEF STAN 91-38,1,27.08,2025-08-20,CAN,CAN,1,27.08
