ID,Supplier,Date,Company,Currency,Status,PN (Items),Description (Items),Quantity (Items),Rate (Company Currency) (Items),Required By (Items),UOM (Items),Stock UOM (Items)
PO-24-5538,BOEING FLEET,2024-09-17,Aeroparts AOG DWC LLC,USD,Draft,1L500109-625,TRIM-DOOR OPENING,10,589,2024-12-01,EA,EA
PO-24-5539,BOEING FLEET,2024-09-18,Aeroparts AOG DWC LLC,USD,Draft,35553-2-255,DETECTOR,1,2299,2025-01-16,EA,EA
PO-24-5539,BOEING FLEET,2024-09-18,Aeroparts AOG DWC LLC,USD,Draft,35562-2-310,SENSOR,1,2274,2025-01-16,EA,EA
ERC-PO-25027,DASI LLC,2025-09-05,Royal Aircraft Maintenance Company DWC LLC,USD,Draft,5A1641,RING,4,74,2025-09-05,EA,EA
ERC-PO-25027,DASI LLC,2025-09-05,Royal Aircraft Maintenance Company DWC LLC,USD,Draft,5A1641,RING,2,60,2025-09-05,EA,EA
ERC-PO-25027,BOEING FLEET,2024-09-18,Royal Aircraft Maintenance Company DWC LLC,USD,Draft,63-533,NUT,330,60.85,2024-09-18,EA,EA
ERC-PO-25026,DASI LLC,2025-09-05,Royal Aircraft Maintenance Company DWC LLC,USD,Draft,5A1641,RING,5,60,2025-09-05,EA,EA
ERC-PO-25022,YAS INTERNATIONAL DIST.INC,2024-09-19,Royal Aircraft Maintenance Company DWC LLC,USD,Draft,65-46360-7,MIXER ASSY,1,2250,2024-10-09,EA,EA
ERC-PO-25022,BOEING FLEET,2024-09-19,Royal Aircraft Maintenance Company DWC LLC,USD,Draft,161W2160-3,"AXLE ASSY-MLG, AFL",1,81078,2024-10-04,EA,EA
ERC-PO-25022,BOEING DISTRIBUTION SERVICES,2024-09-25,Royal Aircraft Maintenance Company DWC LLC,USD,Draft,NSA935805-06,CONDUIT,6,8.49,2024-09-25,EA,EA
ERC-PO-25022,PROPONENT,2024-09-25,Royal Aircraft Maintenance Company DWC LLC,USD,Draft,50845-1,TERMINAL,100,3.99,2024-09-25,EA,EA
ERC-PO-25025,SAFARI AVIATION SERVICES FZE,2025-09-04,Royal Aircraft Maintenance Company DWC LLC,USD,Draft,3M-434 (2 INCH),Temperature Vibration Damping Tape2 In X 60 Yd,5,543.34,2025-09-04,EA,EA
ERC-PO-25024,ACE HARDWARE,2025-08-26,Royal Aircraft Maintenance Company DWC LLC,USD,Draft,VAT,VAT,1,3.1,2025-08-26,EA,EA
ERC-PO-25016,ACE HARDWARE,2025-08-26,Royal Aircraft Maintenance Company DWC LLC,USD,Draft,UNIVERSAL TEMP,UNIVERSAL TEMP,1,61.98,2025-08-26,EA,EA
ERC-PO-25016,INVENTORY LOCATORY SERVICE LLC,2024-10-03,Royal Aircraft Maintenance Company DWC LLC,USD,Draft,1337656,INVOICE REF. 1337656,1,171.44,2024-10-03,EA,EA
ERC-PO-25016,CFM INTERNATIONAL,2024-10-09,Royal Aircraft Maintenance Company DWC LLC,USD,Draft,9339M40G05,SEAL-OIL STA,1,17690,2024-10-16,EA,EA
ERC-PO-25016,SILMID,2025-08-20,Royal Aircraft Maintenance Company DWC LLC,USD,Draft,FUCHS RENOLITE 762,FUCHS RENOLITE 762 HIGH TEMP JOINTING COMPOUND 200,1,85.36,2025-08-20,TB,TB
ERC-PO-25016,EWB AEROSPACE,2024-10-10,Royal Aircraft Maintenance Company DWC LLC,USD,Draft,C20633000,BRAKE ASSY,1,39000,2024-10-15,EA,EA
ERC-PO-25016,SAFARI AVIATION SERVICES FZE,2025-08-28,Royal Aircraft Maintenance Company DWC LLC,USD,Draft,VAT,VAT,1,1.89,2025-08-28,EA,EA
ERC-PO-25016,SILMID,2025-08-20,Royal Aircraft Maintenance Company DWC LLC,USD,Draft,TT-P-28,NCP COATINGS TT-P-28GL TYPE I LOW VOC COATING 1USG,1,967,2025-08-20,CAN,CAN
ERC-PO-25016,SILMID,2025-08-20,Royal Aircraft Maintenance Company DWC LLC,USD,Draft,DEF STAN 91-38,FUCHS PX-7 (S-743) SOFT PETROLATUM TECHNICAL 100GM,1,27.08,2025-08-20,CAN,CAN
ERC-PO-25016,SILMID,2025-08-20,Royal Aircraft Maintenance Company DWC LLC,USD,Draft,DTD900/6128,ROCOL Anti-Seize 797 500gm Can,1,255.69,2025-08-20,CAN,CAN
ERC-PO-25016,SILMID,2025-08-20,Royal Aircraft Maintenance Company DWC LLC,USD,Draft,DTD900/4586,Hylomar PL32L (Light) Aerograde 100gm Tube,1,16.95,2025-08-20,TB,TB
ERC-PO-25016,SILMID,2025-08-20,Royal Aircraft Maintenance Company DWC LLC,USD,Draft,DEF STAN 80-81,ROCOL MTLM 100gm Tube,1,88.51,2025-08-20,TB,TB
ERC-PO-25023,"Taps Aero, LLC",2024-09-19,Royal Aircraft Maintenance Company DWC LLC,USD,Draft,D2711004700000,SWITCH-PUSH BUTTON,2,1000,2024-09-18,EA,EA
ERC-PO-25023,PROPONENT,2024-09-19,Royal Aircraft Maintenance Company DWC LLC,USD,Draft,5017-2050219800,SHOULDER HARNESS ASSY,2,4585.41,2024-09-18,EA,EA
ERC-PO-25019,AVIALL,2024-09-19,Royal Aircraft Maintenance Company DWC LLC,USD,Draft,MS21075L3,NUT,100,0.75,2024-09-19,EA,EA
ERC-PO-25019,WENCOR,2024-09-19,Royal Aircraft Maintenance Company DWC LLC,USD,Draft,NAS514P1032-10,SCREW,100,0.18,2024-09-19,EA,EA
ERC-PO-25019,BOEING DISTRIBUTION SERVICES,2024-09-20,Royal Aircraft Maintenance Company DWC LLC,USD,Draft,MS21250-10056,BOLT,600,4.65,2024-09-30,EA,EA
ERC-PO-25019,WENCOR,2024-09-20,Royal Aircraft Maintenance Company DWC LLC,USD,Draft,Q4559X,LAMP,54,23.5,2024-09-30,EA,EA
ERC-PO-25019,CFM INTERNATIONAL,2024-09-24,Royal Aircraft Maintenance Company DWC LLC,USD,Draft,338-118-304-0,RING-SECTOR SUPPORT,1,2439,2024-09-24,EA,EA
ERC-PO-25019,BOEING FLEET,2024-09-24,Royal Aircraft Maintenance Company DWC LLC,USD,Draft,310A2022-3,LINK,1,3275,2024-09-24,EA,EA
ERC-PO-25019,BOEING FLEET,2024-09-24,Royal Aircraft Maintenance Company DWC LLC,USD,Draft,310A2028-6,BUSHING,6,496.69,2024-09-24,EA,EA
ERC-PO-25019,BOEING DISTRIBUTION SERVICES,2024-09-25,Royal Aircraft Maintenance Company DWC LLC,USD,Draft,NSA936501TA1004,TERMINAL,50,7.13,2024-09-25,EA,EA
ERC-PO-25019,GULF AIRCRAFT & ENGINEERING SERVICES,2025-09-02,Royal Aircraft Maintenance Company DWC LLC,USD,Draft,856A1480G01,"FADEC-ENGINE PRESERVATION, FALSE METERING VALVE SI",1,731,2025-09-02,EA,EA
ERC-PO-25019,BOEING DISTRIBUTION SERVICES,2024-09-25,Royal Aircraft Maintenance Company DWC LLC,USD,Draft,E0250A0S,RELAY BASE MODULE,5,62.32,2024-09-25,EA,EA
ERC-PO-25021,"RIM Enterprises, LLC",2024-09-27,Royal Aircraft Maintenance Company DWC LLC,USD,Draft,5908974-17,GCU GENERATOR,1,2200,2024-10-02,EA,EA
ERC-PO-25021,UNITED AEROSPACE CORPORATION,2024-09-30,Royal Aircraft Maintenance Company DWC LLC,USD,Draft,4978-2,"SWITCH , PUSH BUTTON",1,2000,2024-09-24,EA,EA
ERC-PO-25021,NEAREST EXIT LLC,2024-10-01,Royal Aircraft Maintenance Company DWC LLC,USD,Draft,2-7679-2,FUSE,1,3400,2024-10-02,EA,EA
ERC-PO-25021,NEAREST EXIT LLC,2024-10-01,Royal Aircraft Maintenance Company DWC LLC,USD,Draft,2-7679-2,FUSE,1,3250,2024-10-02,EA,EA
ERC-PO-25021,FAST AVIATION,2024-10-01,Royal Aircraft Maintenance Company DWC LLC,USD,Draft,2-8011-1,FUSE,1,5350,2024-10-02,EA,EA
ERC-PO-25021,BOEING FLEET,2024-10-01,Royal Aircraft Maintenance Company DWC LLC,USD,Draft,BACB30VT5HK4,BOLT,100,2.09,2024-10-02,EA,EA
ERC-PO-25021,SAFARI AVIATION SERVICES FZE,2025-08-25,Royal Aircraft Maintenance Company DWC LLC,USD,Draft,T8EH,"ANTI SEIZE GREASE, 8-OZ-CAN",1,622.33,2025-08-25,CAN,CAN
